id,left,top,right,bottom,GSA,depth_mean,depth_stde,depth_min,depth_max,n_km2,X,Y,n_particles,Sin,Sout,nsry,spwn
0,13.15000017,45.75,13.25000013,45.65,17,15.86557305786,19.7534410389674,0.0,91.944953918457,0.0668995370952381,13.2,45.7,0.0,0.0,0.0,0.0,0.0
1,13.25000017,45.75,13.35000013,45.65,17,7.73633591631208,11.2123224222204,0.0,92.3017272949219,0.111370010380952,13.3,45.7,0.0,0.0,0.0,0.0,0.0
2,13.45000019,45.75,13.55000013,45.65,17,4.23497085475537,4.80178700343741,0.0,25.9856986999512,0.396893449238095,13.5,45.7,0.0,0.0,0.0,0.0,0.0
3,13.55000019,45.75,13.65000013,45.65,17,14.9206350828042,5.56217764851833,0.0,24.5,2.115529825,13.6,45.7,0.0,0.0,0.0,0.0,0.0
4,13.65000021,45.75,13.75000013,45.65,17,12.5405749339196,9.05539397335249,0.0,24.0,2.95320830433333,13.7,45.7,0.0,0.0,0.0,0.0,0.0
5,13.25000013,45.65,13.35000013,45.55,17,15.1856499505747,2.50438718476304,11.6499996185303,21.5,0.369232926952381,13.3,45.6,0.0,0.0,0.0,0.0,0.0
6,13.35000013,45.65,13.45000013,45.55,17,18.4050794289344,3.58867495282396,9.40207099914551,23.75,1.845792349,13.4,45.6,0.0,0.0,0.0,0.0,0.0
7,13.45000013,45.65,13.55000013,45.55,17,21.0717311631888,3.50445039965869,6.0,25.0,4.00901034619048,13.5,45.6,0.0,0.0,0.0,0.0,0.0
8,13.55000013,45.65,13.65000013,45.55,17,23.739469398227,1.34020530130547,18.8500003814697,25.0,6.4002791997619,13.6,45.6,0.0,0.0,0.0,0.0,0.0
9,13.65000013,45.65,13.75000013,45.55,17,15.6884387851201,8.15103934489787,0.0,24.3500003814697,3.918733186,13.7,45.6,0.0,0.0,0.0,0.0,0.0
10,12.65000013,45.55,12.75000013,45.45,17,9.89408928871853,7.73248105190041,0.0,21.5,0.0287225483809524,12.7,45.5,0.0,0.0,0.0,0.0,0.0
11,12.75000013,45.55,12.85000013,45.45,17,17.3900268519776,5.28641699453,0.0,23.8999996185303,0.150202583857143,12.8,45.5,0.0,0.0,0.0,0.0,0.0
12,12.85000013,45.55,12.95000013,45.45,17,20.3746202003418,2.32880534037271,13.3500003814697,24.0,0.487784427142857,12.9,45.5,0.0,0.0,0.0,0.0,0.0
13,12.95000013,45.55,13.05000013,45.45,17,20.8423176976956,1.73775465129186,17.2000007629395,26.0,0.859713370238095,13.0,45.5,0.0,0.0,0.0,0.0,0.0
14,13.05000013,45.55,13.15000013,45.45,17,21.9499891286509,2.41334171193907,17.0,26.0,1.5850191467619,13.1,45.5,0.0,0.05,0.0,0.0,0.0
15,13.15000013,45.55,13.25000013,45.45,17,22.3688681041662,2.20696373486553,17.0,25.0,2.128104006,13.2,45.5,0.0526315789473684,0.0,0.0,0.0,0.0
16,13.25000013,45.55,13.35000013,45.45,17,23.015212652377,1.4704364584335,18.25,25.1000003814697,3.11123589028571,13.3,45.5,0.0,0.0,0.0,0.0,0.0
17,13.35000013,45.55,13.45000013,45.45,17,24.6327311053044,2.49628193965734,21.5499992370605,35.0,4.43762565542857,13.4,45.5,0.0,0.0,0.0,0.0,0.0
18,12.45000013,45.45,12.55000013,45.35,17,15.0212987586209,4.56767268172605,0.0,20.0,0.0413169130952381,12.5,45.4,0.0,0.0,0.0,0.0,0.0
19,12.55000013,45.45,12.65000013,45.35,17,19.1352815366247,1.17323930078127,11.3800001144409,21.0,0.102794968190476,12.6,45.4,0.0,0.0,0.0,0.0,0.0
20,12.65000013,45.45,12.75000013,45.35,17,21.3449815381318,0.919686107328056,18.2000007629395,24.0,0.303357414142857,12.7,45.4,0.0,0.0,0.0,0.0,0.0
21,12.75000013,45.45,12.85000013,45.35,17,23.1656738186462,1.5650107761412,20.0,28.7000007629395,0.925902272285714,12.8,45.4,0.0,0.05,0.0,0.0,0.0
22,12.85000013,45.45,12.95000013,45.35,17,25.9235893943244,2.50846898727109,21.7999992370605,29.4500007629395,3.09130815490476,12.9,45.4,0.0526315789473684,0.1,0.0,0.0,0.0
